name,meteor_first_word,classification,mass,fall,year,latitude,longitude
Aachen,Aachen,L5,21.0,Fell,1880,50.775,6.08333
Aarhus,Aarhus,H6,720.0,Fell,1951,56.18333,10.23333
Abee,Abee,EH4,107000.0,Fell,1952,54.21667,-113.0
Acapulco,Acapulco,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9
Achiras,Achiras,L6,780.0,Fell,1902,-33.16667,-64.95
Adhi Kot,Adhi,EH4,4239.0,Fell,1919,32.1,71.8
Adzhi-Bogdo (stone),Adzhi-Bogdo,LL3-6,910.0,Fell,1949,44.83333,95.16667
Agen,Agen,H5,30000.0,Fell,1814,44.21667,0.61667
Aguada,Aguada,L6,1620.0,Fell,1930,-31.6,-65.23333
Aguila Blanca,Aguila,L,1440.0,Fell,1920,-30.86667,-64.55
Aioun el Atrouss,Aioun,Diogenite-pm,1000.0,Fell,1974,16.39806,-9.57028
Aïr,Aïr,L6,24000.0,Fell,1925,19.08333,8.38333
Akaba,Akaba,L6,779.0,Fell,1949,29.51667,35.05
Akbarpur,Akbarpur,H4,1800.0,Fell,1838,29.71667,77.95
Akwanga,Akwanga,H,3000.0,Fell,1959,8.91667,8.43333
Akyumak,Akyumak,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667
Al Rais,Al,CR2-an,160.0,Fell,1957,24.41667,39.51667
Al Zarnkh,Al,LL5,700.0,Fell,2001,13.66033,28.96
Alais,Alais,CI1,6000.0,Fell,1806,44.11667,4.08333
Albareto,Albareto,L/LL4,2000.0,Fell,1766,44.65,11.01667
Alberta,Alberta,L,625.0,Fell,1949,2.0,22.66667
Alby sur Chéran,Alby,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533
Aldsworth,Aldsworth,LL5,700.0,Fell,1835,51.78333,-1.78333
Aleppo,Aleppo,L6,3200.0,Fell,1873,36.23333,37.13333
Alessandria,Alessandria,H5,908.0,Fell,1860,44.88333,8.75
Alexandrovsky,Alexandrovsky,H4,9251.0,Fell,1900,50.95,31.81667
Alfianello,Alfianello,L6,228000.0,Fell,1883,45.26667,10.15
Allegan,Allegan,H5,32000.0,Fell,1899,42.53333,-85.88333
Allende,Allende,CV3,2000000.0,Fell,1969,26.96667,-105.31667
Almahata Sitta,Almahata,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275
Alta'ameem,Alta'ameem,LL5,6000.0,Fell,1977,35.27333,44.21556
Ambapur Nagla,Ambapur,H5,6400.0,Fell,1895,27.66667,78.25
Andhara,Andhara,Stone-uncl,2700.0,Fell,1880,26.58333,85.56667
Andover,Andover,L6,3200.0,Fell,1898,44.61667,-70.75
Andreevka,Andreevka,L3,600.0,Fell,1969,48.7,37.5
Andura,Andura,H6,17900.0,Fell,1939,20.88333,76.86667
Angra dos Reis (stone),Angra,Angrite,1500.0,Fell,1869,-22.96667,-44.31667
Ankober,Ankober,H4,6500.0,Fell,1942,9.53333,39.71667
Anlong,Anlong,H5,2500.0,Fell,1971,25.15,105.18333
Aomori,Aomori,L6,320.0,Fell,1984,40.81056,140.78556
Appley Bridge,Appley,LL6,15000.0,Fell,1914,53.58333,-2.71667
Apt,Apt,L6,3200.0,Fell,1803,43.86667,5.38333
Arbol Solo,Arbol,H5,810.0,Fell,1954,-33.0,-66.0
Archie,Archie,H6,5070.0,Fell,1932,38.5,-94.3
Arroyo Aguiar,Arroyo,H5,7450.0,Fell,1950,-31.41667,-60.66667
Asco,Asco,H6,41.0,Fell,1805,42.45,9.03333
Ash Creek,Ash,L6,9500.0,Fell,2009,31.805,-97.01
Ashdon,Ashdon,L6,1300.0,Fell,1923,52.05,0.3
Assisi,Assisi,H5,2000.0,Fell,1886,43.03333,12.55
Atarra,Atarra,L4,1280.0,Fell,1920,25.25417,80.625
Atemajac,Atemajac,L6,94.2,Fell,1896,20.06667,-103.66667
Athens,Athens,LL6,265.0,Fell,1933,34.75,-87.0
Atoka,Atoka,L6,1384.2,Fell,1945,34.31667,-96.15
Aubres,Aubres,Aubrite,800.0,Fell,1836,44.38333,5.16667
Aumale,Aumale,L6,50000.0,Fell,1865,36.16667,3.66667
Aumieres,Aumieres,L6,2000.0,Fell,1842,44.33333,3.23333
Ausson,Ausson,L5,50000.0,Fell,1858,43.08333,0.58333
Avanhandava,Avanhandava,H4,9330.0,Fell,1952,-21.46028,-49.95083
Avce,Avce,"Iron, IIAB",1230.0,Fell,1908,46.0,13.5
Avilez,Avilez,H,146.0,Fell,1855,25.0,-103.5
Awere,Awere,L4,134.0,Fell,1968,2.71667,32.83333
Aztec,Aztec,L6,2830.0,Fell,1938,36.8,-108.0
Bachmut,Bachmut,L6,18000.0,Fell,1814,48.6,38.0
Bahjoi,Bahjoi,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5
Bald Mountain,Bald,L4,3700.0,Fell,1929,35.96667,-82.48333
Baldwyn,Baldwyn,L6,345.0,Fell,1922,34.5,-88.66667
Bali,Bali,CV3,1000.0,Fell,1907,5.38333,16.38333
Ban Rong Du,Ban,"Iron, ungrouped",16700.0,Fell,1993,16.66667,101.18333
Bandong,Bandong,LL6,11500.0,Fell,1871,-6.91667,107.6
Bansur,Bansur,L6,15000.0,Fell,1892,27.7,76.33333
Banswal,Banswal,L5,14.0,Fell,1913,30.4,78.2
Banten,Banten,CM2,629.0,Fell,1933,-6.33333,106.0
Barbotan,Barbotan,H5,6400.0,Fell,1790,43.95,-0.05
Barea,Barea,Mesosiderite-A1,3200.0,Fell,1842,42.38333,-2.5
Barnaul,Barnaul,H5,23.2,Fell,1904,52.73333,84.08333
Barntrup,Barntrup,LL4,17.0,Fell,1886,52.0,9.1
Baroti,Baroti,L6,4500.0,Fell,1910,31.61667,76.8
Barwell,Barwell,L5,44000.0,Fell,1965,52.56528,-1.33972
Bassikounou,Bassikounou,H5,29560.0,Fell,2006,15.78333,-5.9
Baszkówka,Baszkówka,L5,15500.0,Fell,1994,52.03333,20.93583
Bath,Bath,H4,21000.0,Fell,1892,45.41667,-98.31667
Bath Furnace,Bath,L6,86000.0,Fell,1902,38.25,-83.75
Battle Mountain,Battle,L6,2900.0,Fell,2012,40.66813,-117.18913
Bawku,Bawku,LL5,1557.0,Fell,1989,11.08333,-0.18333
Baxter,Baxter,L6,611.0,Fell,1916,36.75,-93.5
Beardsley,Beardsley,H5,16000.0,Fell,1929,39.8,-101.2
Beaver Creek,Beaver,H5,14000.0,Fell,1893,51.16667,-117.33333
Beddgelert,Beddgelert,H5,794.0,Fell,1949,53.01667,-4.1
Bells,Bells,C2-ung,375.0,Fell,1961,33.6,-96.46667
Benares (a),Benares,LL4,3700.0,Fell,1798,25.36667,82.91667
Benguerir,Benguerir,LL6,25000.0,Fell,2004,32.25,-8.15
Beni M'hira,Beni,L6,19000.0,Fell,2001,32.86667,10.8
Benld,Benld,H6,1770.5,Fell,1938,39.08333,-89.15
Benoni,Benoni,H6,3880.0,Fell,1943,-26.16667,28.41667
Bensour,Bensour,LL6,45000.0,Fell,2002,30.0,-7.0
Benton,Benton,LL6,2840.0,Fell,1949,45.95,-67.55
Berduc,Berduc,L6,270.0,Fell,2008,-31.91,-58.32833
Béréba,Béréba,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65
Berlanguillas,Berlanguillas,L6,1440.0,Fell,1811,41.68333,-3.8
Berthoud,Berthoud,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325
Bethlehem,Bethlehem,H,13.9,Fell,1859,42.53333,-73.83333
Beuste,Beuste,L5,2000.0,Fell,1859,43.21667,-0.23333
Beyrout,Beyrout,LL3.8,1100.0,Fell,1921,33.88333,35.5
Bhagur,Bhagur,L6,18.0,Fell,1877,20.88333,74.83333
Bhawad,Bhawad,LL6,678.0,Fell,2002,26.50833,73.11528
Bherai,Bherai,L6,100.0,Fell,1893,20.83333,71.46667
Bhola,Bhola,LL3-6,1047.0,Fell,1940,22.68333,90.65
Bholghati,Bholghati,Howardite,2500.0,Fell,1905,22.08333,86.9
Bialystok,Bialystok,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2
Bielokrynitschie,Bielokrynitschie,H4,1900.0,Fell,1887,50.13333,27.16667
Bilanga,Bilanga,Diogenite,25000.0,Fell,1999,12.45,-0.08333
Binningup,Binningup,H5,488.1,Fell,1984,-33.15639,115.67639
Birni N'konni,Birni,H4,560.0,Fell,1923,13.76667,5.3
Bishopville,Bishopville,Aubrite,6000.0,Fell,1843,34.16667,-80.28333
Bishunpur,Bishunpur,LL3.15,1039.0,Fell,1895,25.38333,82.6
Bjelaja Zerkov,Bjelaja,H6,1850.0,Fell,1796,49.78333,30.16667
Bjurböle,Bjurböle,L/LL4,330000.0,Fell,1899,60.4,25.8
Black Moshannan Park,Black,L5,705.0,Fell,1941,40.91667,-78.08333
Blackwell,Blackwell,L5,2381.0,Fell,1906,36.83333,-97.33333
Blanket,Blanket,L6,5100.0,Fell,1909,31.83333,-98.83333
Blansko,Blansko,H6,470.0,Fell,1833,49.36667,16.63333
Bloomington,Bloomington,LL6,67.8,Fell,1938,40.48,-89.00417
Bo Xian,Bo,LL3.9,7500.0,Fell,1977,33.83333,115.83333
Bocas,Bocas,L6,56.0,Fell,1804,23.0,-102.0
Bogou,Bogou,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7
Boguslavka,Boguslavka,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333
Borgo San Donino,Borgo,LL6,1676.0,Fell,1808,44.86667,10.05
Bori,Bori,L6,8600.0,Fell,1894,21.95,78.03333
Boriskino,Boriskino,CM2,1342.0,Fell,1930,54.23333,52.48333
Borkut,Borkut,L5,7000.0,Fell,1852,48.15,24.28333
Borodino,Borodino,H5,500.0,Fell,1812,55.46667,35.86667
Botschetschki,Botschetschki,L4,614.0,Fell,1823,51.33333,33.88333
Boumdeid (2003),Boumdeid,L6,190.0,Fell,2003,17.71067,-11.3715
Boumdeid (2011),Boumdeid,L6,3599.0,Fell,2011,17.17493,-11.34133
Bovedy,Bovedy,L3,5460.0,Fell,1969,54.56667,-6.33333
Bradford Woods,Bradford,L,762.0,Fell,1886,40.5,-80.08333
Braunau,Braunau,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3
Breitscheid,Breitscheid,H5,1500.0,Fell,1956,50.66694,8.18361
Bremervörde,Bremervörde,H/L3.9,7250.0,Fell,1855,53.4,9.1
Brient,Brient,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667
Bruderheim,Bruderheim,L6,303000.0,Fell,1960,53.9,-112.88333
Bukhara,Bukhara,CV3,5300.0,Fell,2001,39.77978,64.60035
Bunburra Rockhole,Bunburra,Eucrite,324.0,Fell,2007,-31.35,129.19
Bununu,Bununu,Howardite,357.0,Fell,1942,10.01667,9.58333
Bur-Gheluai,Bur-Gheluai,H5,120000.0,Fell,1919,5.0,48.0
Burnwell,Burnwell,H4-an,1504.0,Fell,1990,37.62194,-82.23722
Bursa,Bursa,L6,25000.0,Fell,1946,40.2,29.23333
Buschhof,Buschhof,L6,5000.0,Fell,1863,46.45,25.78333
Bustee,Bustee,Aubrite,1500.0,Fell,1852,26.78333,82.83333
Butsura,Butsura,H6,29000.0,Fell,1861,27.08333,84.08333
Buzzard Coulee,Buzzard,H4,41000.0,Fell,2008,52.996,-109.84817
Cabezo de Mayo,Cabezo,L/LL6,25000.0,Fell,1870,37.98333,-1.16667
Cabin Creek,Cabin,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5
Cacak,Cacak,OC,212.0,Fell,1919,43.83889,20.33333
Cali,Cali,H/L4,478.0,Fell,2007,3.405,-76.51
Calivo,Calivo,Stone-uncl,2400.0,Fell,1916,11.75,122.33333
Campos Sales,Campos,L5,23680.0,Fell,1991,-7.03333,-40.16667
Çanakkale,Çanakkale,L6,4000.0,Fell,1964,39.8,26.6
Cañellas,Cañellas,H4,945.0,Fell,1861,41.25,1.66667
Cangas de Onis,Cangas,H5,34000.0,Fell,1866,43.38333,-5.15
Canon City,Canon,H6,1400.0,Fell,1973,38.47028,-105.24139
Cape Girardeau,Cape,H6,2300.0,Fell,1846,37.26667,-89.58333
Capilla del Monte,Capilla,H6,750.0,Fell,1934,-30.88333,-64.55
Carancas,Carancas,H4-5,342.0,Fell,2007,-16.66444,-69.04389
Caratash,Caratash,LL6,8.0,Fell,1902,38.5,27.0
Castalia,Castalia,H5,7300.0,Fell,1874,36.08333,-78.06667
Castine,Castine,L6,94.0,Fell,1848,44.38333,-68.75
Castrovillari,Castrovillari,Stone-uncl,15000.0,Fell,1583,39.8,16.2
Caswell County,Caswell,OC,1360.0,Fell,1810,36.5,-79.25
Ceniceros,Ceniceros,L3.7,1025.0,Fell,1988,26.46667,-105.23333
Centerville,Centerville,H5,45.6,Fell,1956,43.2,-96.91667
Cereseto,Cereseto,H5,6460.0,Fell,1840,45.08333,8.3
Chadong,Chadong,L6,3700.0,Fell,1998,28.53333,109.31667
Chail,Chail,H6,0.5,Fell,1814,25.36667,81.66667
Chainpur,Chainpur,LL3.4,8200.0,Fell,1907,25.85,83.48333
Chajari,Chajari,L5,18300.0,Fell,1933,-30.78333,-58.05
Chandakapur,Chandakapur,L5,8800.0,Fell,1838,20.26667,76.01667
Chandpur,Chandpur,L6,1100.0,Fell,1885,27.28333,79.05
Changde,Changde,H5,1810.0,Fell,1977,29.08333,111.75
Chantonnay,Chantonnay,L6,31500.0,Fell,1812,46.68333,1.05
Charlotte,Charlotte,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333
Charsonville,Charsonville,H6,27000.0,Fell,1810,47.93333,1.56667
Charwallas,Charwallas,H6,12000.0,Fell,1834,29.48333,75.5
Chassigny,Chassigny,Martian (chassignite),4000.0,Fell,1815,47.71667,5.36667
Château-Renard,Château-Renard,L6,30000.0,Fell,1841,47.93333,2.91667
Chaves,Chaves,Howardite,2945.0,Fell,1925,41.93333,-7.46667
Chela,Chela,H4,2936.0,Fell,1988,-3.66667,32.5
Chelyabinsk,Chelyabinsk,LL5,100000.0,Fell,2013,54.81667,61.11667
Chergach ,Chergach,H5,100000.0,Fell,2007,23.69639,-5.01472
Chernyi Bor,Chernyi,H4,6000.0,Fell,1964,53.7,30.1
Cherokee Springs,Cherokee,LL6,8400.0,Fell,1933,35.03333,-81.88333
Chervettaz,Chervettaz,L5,705.0,Fell,1901,46.55,6.81667
Chervony Kut,Chervony,Eucrite-mmict,1700.0,Fell,1939,50.83333,34.0
Chetrinahatti,Chetrinahatti,Stone-uncl,72.0,Fell,1880,14.5,76.5
Chiang Khan,Chiang,H6,367.0,Fell,1981,17.9,101.63333
Chicora,Chicora,LL6,303.0,Fell,1938,40.93333,-79.73333
Chisenga,Chisenga,"Iron, IIIAB",3920.0,Fell,1988,-10.05944,33.395
Chitenay,Chitenay,L6,4000.0,Fell,1978,47.47083,0.97667
Cilimus,Cilimus,L5,1600.0,Fell,1979,-6.95,108.1
Claxton,Claxton,L6,1455.0,Fell,1984,32.1025,-81.87278
Colby (Wisconsin),Colby,L6,104000.0,Fell,1917,44.9,-90.28333
Cold Bokkeveld,Cold,CM2,5200.0,Fell,1838,-33.13333,19.38333
Coleman,Coleman,L6,469.0,Fell,1994,43.76111,-84.50778
Collescipoli,Collescipoli,H5,5000.0,Fell,1890,42.53333,12.61667
Conquista,Conquista,H4,20350.0,Fell,1965,-19.85,-47.55
Cosina,Cosina,H5,1200.0,Fell,1844,21.16667,-100.86667
Cranganore,Cranganore,L6,1460.0,Fell,1917,10.2,76.26667
Crescent,Crescent,CM2,78.4,Fell,1936,35.95,-97.58333
Cronstad,Cronstad,H5,3650.0,Fell,1877,-27.7,27.3
Cross Roads,Cross,H5,167.0,Fell,1892,35.63333,-78.13333
Crumlin,Crumlin,L5,4255.0,Fell,1902,54.61667,-6.21667
Cumberland Falls,Cumberland,Aubrite,17000.0,Fell,1919,36.83333,-84.35
Cynthiana,Cynthiana,L/LL4,6000.0,Fell,1877,38.4,-84.25
Dahmani,Dahmani,LL6,18000.0,Fell,1981,35.61667,8.83333
Dandapur,Dandapur,L6,5650.0,Fell,1878,26.91667,83.96667
Daniel's Kuil,Daniel's,EL6,1064.0,Fell,1868,-28.2,24.56667
Danville,Danville,L6,2000.0,Fell,1868,34.4,-87.06667
Darmstadt,Darmstadt,H5,100.0,Fell,1804,49.86667,8.65
Dashoguz,Dashoguz,H5,7000.0,Fell,1998,41.98444,59.685
Daule,Daule,L5,6580.0,Fell,2008,-1.87089,-79.95756
De Cewsville,De,H6,340.0,Fell,1887,43.0,-80.0
Deal,Deal,L6,28.0,Fell,1829,40.25,-74.0
Delhi,Delhi,L5,0.8,Fell,1897,28.56667,77.25
Demina,Demina,L6,16400.0,Fell,1911,51.46667,84.76667
Denver,Denver,L6,230.0,Fell,1967,39.7825,-104.93056
Dergaon,Dergaon,H5,12500.0,Fell,2001,26.68333,93.86667
Desuri,Desuri,H6,25400.0,Fell,1962,25.73333,73.61667
Devgaon,Devgaon,H3.8,12000.0,Fell,2001,19.0,81.0
Devri-Khera,Devri-Khera,L6,1140.0,Fell,1994,24.225,76.525
Dhajala,Dhajala,H3.8,45000.0,Fell,1976,22.37778,71.42722
Dharwar,Dharwar,OC,1800.0,Fell,1848,14.88333,75.6
Dhurmsala,Dhurmsala,LL6,32000.0,Fell,1860,32.23333,76.46667
Didim,Didim,H3-5,3396.0,Fell,2007,37.35172,27.32997
Diep River,Diep,L6,1000.0,Fell,1906,-33.75,18.56667
Distrito Quebracho,Distrito,H4,400.0,Fell,1957,-31.88333,-60.46667
Djati-Pengilon,Djati-Pengilon,H6,166000.0,Fell,1884,-7.5,111.5
Djermaia,Djermaia,H,3950.0,Fell,1961,12.73333,15.05
Djoumine,Djoumine,H5-6,10000.0,Fell,1999,36.95,9.55
Dokachi,Dokachi,H5,3840.0,Fell,1903,23.5,90.33333
Dolgovoli,Dolgovoli,L6,1600.0,Fell,1864,50.75,25.3
Domanitch,Domanitch,L5,438.0,Fell,1907,40.0,29.0
Dong Ujimqin Qi,Dong,Mesosiderite,128800.0,Fell,1995,45.5,119.03333
Donga Kohrod,Donga,H6,230.0,Fell,1899,21.86667,82.45
Dongtai,Dongtai,LL6,5500.0,Fell,1970,32.91667,120.78333
Doroninsk,Doroninsk,H5-7,3891.0,Fell,1805,51.2,112.3
Dosso,Dosso,L6,1250.0,Fell,1962,13.05,3.16667
Douar Mghila,Douar,LL6,1161.0,Fell,1932,32.33333,-6.3
Dowa,Dowa,Stone-uncl,642.0,Fell,1976,-13.66667,33.91667
Drake Creek,Drake,L6,5000.0,Fell,1827,36.4,-86.5
Dresden (Ontario),Dresden,H6,47700.0,Fell,1939,42.52,-82.26
Dubrovnik,Dubrovnik,L3-6,1900.0,Fell,1951,42.45833,18.44167
Dunbogan,Dunbogan,L6,30.0,Fell,1999,-31.66667,152.83333
Dundrum,Dundrum,H5,2270.0,Fell,1865,52.55,-8.03333
Durala,Durala,L6,13200.0,Fell,1815,30.3,76.63333
Duruma,Duruma,L6,577.0,Fell,1853,-4.0,39.5
Duwun,Duwun,L6,2117.0,Fell,1943,33.43333,127.26667
Dwaleni,Dwaleni,H4-6,3230.0,Fell,1970,-27.2,31.31667
Dyalpur,Dyalpur,Ureilite,300.0,Fell,1872,26.25,82.0
Dyarrl Island,Dyarrl,Mesosiderite-A1,188.0,Fell,1933,-3.0,151.0
Eagle,Eagle,EL6,10000.0,Fell,1947,40.78167,-96.47167
Ehole,Ehole,H5,2400.0,Fell,1961,-17.3,15.83333
Eichstädt,Eichstädt,H5,3000.0,Fell,1785,48.9,11.21667
Ekeby,Ekeby,H4,3336.0,Fell,1939,56.03333,13.0
Ekh Khera,Ekh,H6,840.0,Fell,1916,28.26667,78.78333
El Idrissia,El,L6,10000.0,Fell,1989,34.41667,3.25
El Paso de Aguila,El,H5,17226.0,Fell,1977,25.37,-97.37
El Tigre,El,L6,5000.0,Fell,1993,19.96722,-103.05167
Elbert,Elbert,LL6,680.5,Fell,1998,39.24667,-104.58817
Elbogen,Elbogen,"Iron, IID",107000.0,Fell,1399,50.18333,12.73333
Elenovka,Elenovka,L5,54640.0,Fell,1951,47.83333,37.66667
Ellemeet,Ellemeet,Diogenite,1470.0,Fell,1925,51.75,4.0
Emmaville,Emmaville,Eucrite-mmict,127.0,Fell,1900,-29.46667,151.61667
Enshi,Enshi,H5,8000.0,Fell,1974,30.3,109.5
Ensisheim,Ensisheim,LL6,127000.0,Fell,1491,47.86667,7.35
Épinal,Épinal,H5,277.0,Fell,1822,48.18333,6.46667
Erakot,Erakot,CM2,113.0,Fell,1940,19.03333,81.89167
Erevan,Erevan,Howardite,107.2,Fell,1911,40.3,44.5
Ergheo,Ergheo,L5,20000.0,Fell,1889,1.16667,44.16667
Erxleben,Erxleben,H6,2250.0,Fell,1812,52.21667,11.25
Esnandes,Esnandes,L6,1500.0,Fell,1837,46.25,-1.1
Essebi,Essebi,C2-ung,500.0,Fell,1957,2.88333,30.83333
Estherville,Estherville,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333
Farmington,Farmington,L5,89400.0,Fell,1890,39.75,-97.03333
Farmville,Farmville,H4,56000.0,Fell,1934,35.55,-77.53333
Favars,Favars,H5,1500.0,Fell,1844,44.38333,2.81667
Fayetteville,Fayetteville,H4,2360.0,Fell,1934,36.05,-94.16667
Feid Chair,Feid,H4,380.0,Fell,1875,36.88333,8.45
Felix,Felix,CO3.3,3200.0,Fell,1900,32.53333,-87.16667
Fenghsien-Ku,Fenghsien-Ku,H5,82.0,Fell,1924,34.6,116.75
Ferguson,Ferguson,OC,220.0,Fell,1889,36.1,-81.41667
Fermo,Fermo,H3-5,10200.0,Fell,1996,43.18111,13.75333
Fisher,Fisher,L6,17600.0,Fell,1894,47.81667,-96.85
Florence,Florence,H3,3640.0,Fell,1922,30.83333,-97.76667
Forest City,Forest,H5,152000.0,Fell,1890,43.25,-93.66667
Forest Vale,Forest,H4,26000.0,Fell,1942,-33.35,146.85833
Forksville,Forksville,L6,6067.0,Fell,1924,36.78333,-78.08333
Forsbach,Forsbach,H6,240.0,Fell,1900,50.95,7.31667
Forsyth,Forsyth,L6,16300.0,Fell,1829,33.01667,-83.96667
Frankfort (stone),Frankfort,Howardite,650.0,Fell,1868,34.48333,-87.83333
Fuhe,Fuhe,L5,23000.0,Fell,1945,31.47556,113.56694
Fukutomi,Fukutomi,L5,11620.0,Fell,1882,33.18333,130.2
Futtehpur,Futtehpur,L6,4000.0,Fell,1822,25.95,80.81667
Fuyang,Fuyang,Stone-uncl,2500.0,Fell,1977,32.9,115.9
Galapian,Galapian,H6,132.7,Fell,1826,44.3,0.4
Galim (a),Galim,LL6,36.1,Fell,1952,7.05,12.43333
Galim (b),Galim,EH3/4-an,28.0,Fell,1952,7.05,12.43333
Galkiv,Galkiv,H4,5000.0,Fell,1995,51.68333,30.78333
Gambat,Gambat,L6,6400.0,Fell,1897,27.35,68.53333
Garhi Yasin,Garhi,"Iron, IIE",380.0,Fell,1917,27.88333,68.53333
Garland,Garland,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333
Gashua,Gashua,L6,4162.0,Fell,1984,12.85,11.03333
Geidam,Geidam,H5,725.0,Fell,1950,12.91667,11.91667
Gifu,Gifu,L6,14290.0,Fell,1909,35.53333,136.88333
Girgenti,Girgenti,L6,18000.0,Fell,1853,37.31667,13.56667
Git-Git,Git-Git,L6,480.0,Fell,1947,9.6,9.91667
Glanerbrug,Glanerbrug,L/LL5,670.0,Fell,1990,52.2,6.86667
Glanggang,Glanggang,H5-6,1303.0,Fell,1939,-7.25,107.7
Glasatovo,Glasatovo,H4,152000.0,Fell,1918,57.35,37.61667
Glatton,Glatton,L6,767.0,Fell,1991,52.45972,-0.3
Gnadenfrei,Gnadenfrei,H5,1750.0,Fell,1879,50.66667,16.76667
Gopalpur,Gopalpur,H6,1600.0,Fell,1865,24.23333,89.05
Gorlovka,Gorlovka,H3.7,3618.0,Fell,1974,48.28333,38.08333
Granes,Granes,L6,9000.0,Fell,1964,42.9,2.25
Grefsheim,Grefsheim,L5,45.5,Fell,1976,60.66667,11.0
Grimsby,Grimsby,H5,215.0,Fell,2009,43.2,-79.61667
Grosnaja,Grosnaja,CV3,3500.0,Fell,1861,43.66667,45.38333
Gross-Divina,Gross-Divina,H5,10500.0,Fell,1837,49.26667,18.71667
Grossliebenthal,Grossliebenthal,L6,8000.0,Fell,1881,46.35,30.58333
Grüneberg,Grüneberg,H4,1000.0,Fell,1841,51.93333,15.5
Grzempach,Grzempach,H5,690.0,Fell,1910,52.86667,16.63333
Gualeguaychú,Gualeguaychú,H6,22000.0,Fell,1932,-33.0,-58.61667
Guangmingshan,Guangmingshan,H5,2910.0,Fell,1996,39.80417,122.76389
Guangrao,Guangrao,L6,1900.0,Fell,1980,37.1,118.4
Guareña,Guareña,H6,39000.0,Fell,1892,38.73333,-6.01667
Guêa,Guêa,Stone-uncl,1915.0,Fell,1891,43.76667,20.23333
Guibga,Guibga,L5,288.0,Fell,1972,13.5,-0.68333
Guidder,Guidder,LL5,968.0,Fell,1949,9.91667,13.98333
Gujargaon,Gujargaon,H5,2449.0,Fell,1982,22.98333,76.05
Gujba,Gujba,CBa,100000.0,Fell,1984,11.49167,11.65833
Gumoschnik,Gumoschnik,H5,5700.0,Fell,1904,42.9,24.7
Gurram Konda,Gurram,L6,28.0,Fell,1814,13.78333,78.56667
Gursum,Gursum,H4/5,34650.0,Fell,1981,9.36667,42.41667
Gütersloh,Gütersloh,H3/4,1000.0,Fell,1851,51.91667,8.38333
Gyokukei,Gyokukei,OC,1320.0,Fell,1930,35.0,127.5
Hachi-oji,Hachi-oji,H?,0.2,Fell,1817,35.65,139.33333
Hainaut,Hainaut,H3-6,9000.0,Fell,1934,50.31667,3.73333
Hallingeberg,Hallingeberg,L3.4,1456.0,Fell,1944,57.81667,16.23333
Hamlet,Hamlet,LL4,3710.0,Fell,1959,41.38333,-86.6
Haraiya,Haraiya,Eucrite-mmict,1000.0,Fell,1878,26.8,82.53333
Haripura,Haripura,CM2,315.0,Fell,1921,28.38333,75.78333
Harleton,Harleton,L6,8360.0,Fell,1961,32.675,-94.51167
Harrison County,Harrison,L6,680.0,Fell,1859,38.25,-86.16667
Hashima,Hashima,H4,1110.6,Fell,1910,35.2945,136.70033
Hassi-Jekna,Hassi-Jekna,"Iron, IAB-sHL",1250.0,Fell,1890,28.95,0.81667
Hatford,Hatford,Stone-uncl,29000.0,Fell,1628,51.65,-1.51667
Haverö,Haverö,Ureilite,1544.0,Fell,1971,60.24556,22.06194
Hedeskoga,Hedeskoga,H5,3500.0,Fell,1922,55.46667,13.78333
Hedjaz,Hedjaz,L3.7-6,6100.0,Fell,1910,27.33333,35.66667
Heredia,Heredia,H5,1000.0,Fell,1857,10.0,-84.1
Hessle,Hessle,H5,20000.0,Fell,1869,59.85,17.66667
Higashi-koen,Higashi-koen,H5,750.0,Fell,1897,33.6,130.43333
High Possil,High,L6,4500.0,Fell,1804,55.9,-4.23333
Hiroshima,Hiroshima,H5,414.0,Fell,2003,34.45,132.38333
Hoima,Hoima,H6,167.7,Fell,2003,1.345,31.47278
Hökmark,Hökmark,L4,305.5,Fell,1954,64.43333,21.2
Holbrook,Holbrook,L/LL6,220000.0,Fell,1912,34.9,-110.18333
Holetta,Holetta,Stone-uncl,1415.0,Fell,1923,9.06667,38.41667
Homestead,Homestead,L5,230000.0,Fell,1875,41.8,-91.86667
Honolulu,Honolulu,L5,2420.0,Fell,1825,21.3,-157.86667
Hotse,Hotse,L6,180.0,Fell,1956,35.66667,115.5
Hoxie,Hoxie,OC,266.1,Fell,1963,39.35,-100.45
Hraschina,Hraschina,"Iron, IID",49000.0,Fell,1751,46.1,16.33333
Huaxi,Huaxi,H5,1600.0,Fell,2010,26.46469,106.63241
